날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2024-01-01,59440,56989,55335,54477,54522,55176,56155,56751,56628,54577,52885,51394,50820,51586,53607,55924,58499,61815,63132,62931,62188,61164,60970,60735
2024-01-02,57950,55640,54423,54013,54821,56898,61247,68237,76961,80460,80380,78418,75063,77354,78370,78962,79438,79190,77282,75155,72394,70082,70289,69487
2024-01-03,65696,63141,61664,61194,61581,63301,66869,72528,80235,83422,82535,79764,75386,78851,80137,80320,81276,80849,79223,77431,74779,72383,72077,71400
2024-01-04,67462,64977,63750,63179,63693,65327,68973,75025,81728,81388,78139,74381,70015,72574,74343,76587,79381,80141,78979,77378,74608,72201,71902,71231
2024-01-05,67307,64619,62985,62320,62618,64021,67593,72865,79708,80632,79108,76430,72007,73773,74558,75004,76261,76418,75461,74054,71947,69966,70047,69584
2024-01-06,65942,63518,61950,61124,61376,62128,63800,65278,65979,63300,60227,57474,54820,55854,57848,60473,63983,66679,67965,67576,66752,65666,66515,66501
2024-01-07,63202,60706,59094,58267,58524,59242,60354,61076,61502,59956,57531,54609,53402,54136,55985,59040,63590,67878,69798,69423,68435,67075,66817,66665
2024-01-08,64075,61697,60688,60279,60859,62938,67784,75299,83991,84150,80870,77220,72374,74905,76736,79380,83091,84037,82503,80247,77254,74414,74233,73473
2024-01-09,69646,66989,65422,64513,64853,66359,69912,75902,83988,87692,88214,87188,83607,86069,86210,85765,85612,84130,81686,79165,76004,73371,73317,72596
2024-01-10,68854,66332,64902,64105,64509,66079,69672,75331,83079,85081,83504,80157,75076,77298,78309,79555,81630,81981,80657,78907,76256,73776,73709,72964
2024-01-11,69021,66489,65087,64253,64617,66162,69744,75344,82561,84185,82131,78675,72980,75892,77721,79559,81240,81180,79720,77739,74923,72410,72457,71688
2024-01-12,67772,65030,63516,62857,63375,65022,68559,73903,80506,80165,76646,72407,67438,69567,71019,73419,76644,77897,76978,75420,73259,71215,71498,71129
2024-01-13,67548,65005,63406,62498,62717,63321,64824,66273,66893,64020,60990,58074,55138,55618,56784,59686,63420,66522,68211,67811,66984,65883,66880,66868
2024-01-14,63642,61129,59549,58611,58723,59483,60603,61438,60799,57886,56700,56090,56426,57948,60420,62091,63375,65715,66854,66349,65528,64418,64272,64251
2024-01-15,61536,59448,58496,58201,59069,61284,65974,73148,81239,81399,78534,75130,70412,72650,74098,76368,80027,81436,80582,78733,75927,73464,73660,72958
2024-01-16,69220,66987,65680,64922,65306,67079,70891,76883,83487,82585,79345,75897,71396,74657,76725,78402,80251,81241,80777,78982,75905,73270,73048,72318
2024-01-17,68410,65806,64211,63339,63645,65281,68904,74554,82162,85525,86162,85117,82122,84994,85776,85232,84490,82444,80112,77826,74950,72458,72149,71467
2024-01-18,67541,64787,63108,62408,62610,64051,67458,72463,79814,82859,82978,81088,77295,79737,79855,79485,79796,78958,77781,76041,73495,71104,71126,70387
2024-01-19,66528,63822,62184,61529,61842,63343,66789,71757,78901,81003,80561,78623,74238,76345,77298,77717,78041,77217,75993,74420,72152,69997,70068,69442
2024-01-20,65578,62945,61288,60399,60364,61113,62477,63879,65942,68064,69500,69413,67654,68116,68012,67760,67623,67693,68043,67415,66190,64961,65538,65369
2024-01-21,62027,59415,57658,56847,56718,57309,58370,59243,59826,59389,58534,57325,57282,59319,60994,61878,63139,65428,66867,66400,65562,64572,64516,64348
2024-01-22,61623,59258,58195,57916,58892,61479,66391,73629,82606,85783,85308,83213,79302,82167,83458,84691,86569,86746,85215,82958,79749,76697,76329,75593
2024-01-23,71882,69535,68166,67259,67479,69230,73179,79283,87237,88662,87554,86138,82301,85110,86501,87484,89231,89210,87474,85116,81576,78627,77589,76898
2024-01-24,73303,70763,69057,68210,68317,69708,73355,79610,87185,88055,86418,84239,79532,81501,82340,83586,86201,86696,85085,83137,80165,77248,76209,75420
2024-01-25,71682,69416,67979,67204,67348,68940,72715,79039,86602,86788,84336,80911,75937,77748,78364,79945,83207,84722,84066,82160,79236,76288,75852,75068
2024-01-26,71198,68721,66970,66358,66419,68123,71738,77644,84354,83873,81078,77710,73079,75193,76303,77672,79806,80103,79369,77791,75537,73123,72975,72539
2024-01-27,68971,66466,64712,63746,63628,64057,65722,67165,68069,65996,63062,59841,56575,56942,57688,60391,63828,67017,69125,68893,67862,66594,67060,66969
2024-01-28,63814,61330,59477,58659,58780,59528,60603,61411,60813,57833,55983,54522,54077,54177,54648,56755,60578,64940,67741,67727,67014,65778,65552,65109
2024-01-29,62440,60180,59173,58843,59296,61642,66366,73716,82005,82039,78597,74797,69675,71881,72983,74957,78226,79901,79896,78215,75476,72972,72716,72037
